# LaSOT: провальна хвіст-популяція D0-280 (AUC < 0.20), БЕЗ probe16 — 2026-07-17
# Призначення: перевірити, чи виключення за співіснуванням (D14) ловить щось ПОЗА probe16.
# probe16 відбирався за топ-дельтою multi-VPE, НЕ за абсолютною поганістю: у найгіршій
# сорокiвці 280 з нього лише umbrella-9 (0.053) і train-11 (0.090). Ця хвоста не міряна.
#
# Логіка: вето може допомогти ЛИШЕ там, де трекер провалюється. Де D0 уже добре, воно
# здатне тільки шкодити — а його податок виміряно як нуль (probe16 hijack: -0.0004).
# Разом із probe16 це 54 з 280 відео; решту ~226 можна вважати незміненими й оцінити
# ефект на 280 БЕЗ повного 5-годинного прогону.
#
# ⚠️ НЕ для абсолютного середнього: набір відібрано за поганістю D0. Порівняння лише
#    парне (D0 vs D14 на тих самих відео); трекер детермінований, тож regression-to-mean
#    тут не діє (D14 відтворив незмінені probe16-відео до 3-го знака).
licenseplate-12   # D0=0.010
surfboard-12      # D0=0.012
motorcycle-18     # D0=0.013
monkey-9          # D0=0.014
chameleon-20      # D0=0.015
volleyball-19     # D0=0.016
yoyo-17           # D0=0.018
pool-7            # D0=0.032
yoyo-19           # D0=0.035
volleyball-13     # D0=0.037
turtle-8          # D0=0.037
hand-3            # D0=0.055
bird-15           # D0=0.061
yoyo-7            # D0=0.067
guitar-10         # D0=0.071
volleyball-18     # D0=0.078
swing-17          # D0=0.081
microphone-14     # D0=0.086
swing-14          # D0=0.086
robot-19          # D0=0.101
rubicCube-1       # D0=0.101
racing-20         # D0=0.101
drone-7           # D0=0.108
gecko-16          # D0=0.108
squirrel-11       # D0=0.130
zebra-16          # D0=0.139
microphone-2      # D0=0.141
squirrel-13       # D0=0.147
sheep-9           # D0=0.149
crab-18           # D0=0.152
swing-10          # D0=0.164
train-1           # D0=0.166
goldfish-7        # D0=0.172
gorilla-9         # D0=0.173
kite-10           # D0=0.180
helmet-19         # D0=0.186
hand-9            # D0=0.193
kite-15           # D0=0.197
