# LaSOT probe-16 для ескалаційного multi-VPE (D9) — 2026-07-14
# Топ-8 виграшів multi (D6b−D0 > 0) + топ-8 програшів (D6b−D0 < 0) на LaSOT-280.
# Критерій успіху D9: зберегти >=6/8 виграшів (rescue) І уникнути >=6/8 програшів (hijack).
# НЕ для абсолютного середнього — набір навмисно екстремальний.
#
# --- multi ВИГРАЄ (rescue після втрати; D0 провалюється) ---
book-19           # D0=0.335 D6b=0.926 Δ=+0.591
robot-8           # D0=0.252 D6b=0.810 Δ=+0.558
train-11          # D0=0.090 D6b=0.585 Δ=+0.495
umbrella-9        # D0=0.053 D6b=0.437 Δ=+0.384
mouse-1           # D0=0.366 D6b=0.610 Δ=+0.243
kangaroo-11       # D0=0.456 D6b=0.682 Δ=+0.226
elephant-16       # D0=0.280 D6b=0.427 Δ=+0.147
cattle-13         # D0=0.262 D6b=0.401 Δ=+0.139
# --- multi ПРОГРАЄ (hijack здорового треку; D0 працює) ---
cattle-2          # D0=0.840 D6b=0.278 Δ=-0.561
sepia-13          # D0=0.535 D6b=0.035 Δ=-0.500
lizard-13         # D0=0.688 D6b=0.242 Δ=-0.447
licenseplate-6    # D0=0.519 D6b=0.086 Δ=-0.433
deer-4            # D0=0.723 D6b=0.390 Δ=-0.332
train-7           # D0=0.721 D6b=0.430 Δ=-0.291
squirrel-8        # D0=0.554 D6b=0.290 Δ=-0.264
leopard-20        # D0=0.531 D6b=0.286 Δ=-0.245
